trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.3802720336045657, 'e': 0.11624763874381928}",20,12,17.174628803332485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.37646931326852, 'e': 0.11547005383792514}",25,2,26.539838804958134,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.37270462013583483, 'e': 0.11470786693528087}",25,3,35.216171791067296,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.3689775739344765, 'e': 0.11396057645963795}",20,3,25.3337197462404,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.36528779819513174, 'e': 0.11322770341445956}",20,10,18.588317482372418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.36163492021318044, 'e': 0.1125087900926024}",25,19,-29.22381332601913,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.3580185710110486, 'e': 0.11180339887498948}",20,3,25.23873697893558,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.35443838530093813, 'e': 0.1111111111111111}",25,12,20.354207439937436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.35089400144792876, 'e': 0.11043152607484653}",25,0,22.56262782999185,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.3473850614334495, 'e': 0.10976425998969035}",20,15,10.500179124830694,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.343911210819115, 'e': 0.1091089451179962}",20,3,18.961787726086925,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.3404720987109239, 'e': 0.10846522890932808}",20,0,26.309591931786947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.3370673777238146, 'e': 0.10783277320343841}",20,2,16.426539150247155,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.33369670394657647, 'e': 0.10721125348377948}",30,9,-11.303470627428744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.3303597369071107, 'e': 0.10660035817780521}",25,6,30.990805245497953,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.3270561395380396, 'e': 0.105999788000636}",30,7,44.16480104988117,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.3237855781426592, 'e': 0.10540925533894598}",25,19,11.77873601610167,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3205477223612326, 'e': 0.10482848367219183}",20,12,12.592370463744183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.31734224513762027, 'e': 0.10425720702853739}",25,0,-3.048588745915335,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
93,False,"{'a': 0.3141688226862441, 'e': 0.10369516947304253}",30,14,30.958823638105795,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3110271344593816, 'e': 0.10314212462587934}",20,12,14.00312038770261,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.30791686311478783, 'e': 0.10259783520851541}",25,0,35.056224810487635,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.30483769448363995, 'e': 0.10206207261596577}",25,15,-2.52802197643875,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.30178931753880356, 'e': 0.10153461651336192}",20,0,34.383800888618566,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.2987714243634155, 'e': 0.10101525445522107}",30,0,26.017927387586035,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.2957837101197814, 'e': 0.10050378152592121}",30,21,17.028235520470545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.2928258730185836, 'e': 0.1}",20,13,14.083490892345305,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.2898976142883978, 'e': 0.09950371902099892}",25,5,37.85215545984968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2869986381455138, 'e': 0.09901475429766744}",25,10,22.153511587177867,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.28412865176405866, 'e': 0.09853292781642932}",25,0,29.744770431689528,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.28128736524641806, 'e': 0.09805806756909202}",20,9,6.97304707333618,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.2784744915939539, 'e': 0.09759000729485333}",30,0,45.81301531479895,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.2756897466780143, 'e': 0.09712858623572641}",25,15,16.30946794995955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2729328492112342, 'e': 0.09667364890456635}",25,11,26.686280764606973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.27020352071912185, 'e': 0.09622504486493763}",25,14,-28.54865262755952,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.26750148551193065, 'e': 0.09578262852211514}",30,18,20.715673855345575,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.26482647065681136, 'e': 0.09534625892455924}",35,18,26.243741030598457,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.26217820595024327, 'e': 0.0949157995752499}",20,11,18.100654801762474,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.25955642389074085, 'e': 0.0944911182523068}",20,9,14.713890327340081,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.25696085965183346, 'e': 0.09407208683835973}",20,6,23.126978051664306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.2543912510553151, 'e': 0.0936585811581694}",20,6,13.661244269770634,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.251847338544762, 'e': 0.09325048082403138}",20,16,7.586820112047161,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.24932886515931438, 'e': 0.09284766908852593}",20,6,23.56617673863792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.24683557650772123, 'e': 0.09245003270420485}",35,18,31.779624600376543,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.24436722074264403, 'e': 0.09205746178983235}",20,9,8.970964065108351,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.24192354853521758, 'e': 0.09166984970282113}",25,0,-15.798720292409229,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.2395043130498654, 'e': 0.09128709291752768}",20,9,23.883635205238868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.23710926991936676, 'e': 0.09090909090909091}",20,10,16.78696426558977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2347381772201731, 'e': 0.09053574604251853}",20,12,15.391078990815664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.23239079544797137, 'e': 0.09016696346674323}",25,0,5.492576829218733,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.23006688749349166, 'e': 0.08980265101338744}",20,15,8.719685599663112,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.22776621861855675, 'e': 0.08944271909999159}",20,9,22.210214775005465,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
